procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0    132     15    441    0    0     0    16 2384 16164  8  8 84  0  0
 0  0      0    132     15    441    0    0     0     0 3775 26011 13 11 76  0  0
 0  0      0    131     15    441    0    0     0     0 4017 34323 22 14 64  0  0
 3  0      0    131     15    441    0    0     0     0 2319 20615 13  5 81  0  0
 0  0      0    131     15    441    0    0     0     0 4435 30118 16 13 71  0  0
 0  0      0    131     15    441    0    0     0     0 3753 24149 14 12 74  0  0
 0  0      0    131     15    441    0    0     0     0 3001 20090 12  7 81  0  0
 0  0      0    131     15    441    0    0     0     0 3814 23667 13 10 77  0  0
 0  0      0    131     15    441    0    0     0     0 1902 15308 10  7 83  0  0
 0  0      0    131     15    441    0    0     0     0 2715 27338 15  8 77  0  0
 0  0      0    131     15    441    0    0     0     8 1311 26744 12  8 79  0  1
 0  0      0    131     15    441    0    0     0     0 2725 27094 17 11 70  0  3
 2  0      0    131     15    441    0    0     0     0  954 14621  4  8 88  0  0
 0  0      0    131     15    441    0    0     0     0 1137 19599 11  6 83  0  0
 0  0      0    129     15    441    0    0     0     0  731 23686 15  5 80  0  0
 0  0      0    129     15    441    0    0     0     0 1044 13807  7  4 89  0  0
 0  0      0    129     15    441    0    0     0    20  320 3573  2  0 98  0  0
 0  0      0    129     15    441    0    0     0     0 2078 22218 12  9 79  0  0
 0  0      0    129     15    441    0    0     0     0  580 23610 13  5 81  0  0
 0  0      0    129     15    441    0    0     0     0  334 4600  2  2 96  0  0
 0  0      0    129     15    441    0    0     0    16  731 6645  3  3 94  0  0
 0  0      0    129     15    441    0    0     0     0 1137 8851  1  6 93  0  0
 0  0      0    129     15    441    0    0     0     0 3280 19737  9 11 80  0  0
 1  0      0    129     15    441    0    0     0     0  715 3749  1  2 97  0  0
 4  0      0    129     15    441    0    0     0     0 2912 17295 15  6 79  0  0
 0  0      0    129     15    441    0    0     0     0 2314 15147 11  7 82  0  0
 0  0      0    129     15    441    0    0     0     0  574 3990  2  1 96  0  1
 0  0      0    129     15    441    0    0     0     0  757 5013  3  2 95  0  0
 0  0      0    129     15    441    0    0     0     0  998 7708  2  5 93  0  0
 0  0      0    129     15    441    0    0     0     0 3667 24034 14 10 76  0  0
 2  0      0    129     15    441    0    0     0    16 3083 19632 12 10 78  0  0
 0  0      0    129     15    441    0    0     0     0 1999 12036  6  4 90  0  0
 0  0      0    129     15    441    0    0     0     0 1425 9181  4  4 92  0  0
 4  0      0    129     15    441    0    0     0     0 3787 21891 12 10 78  0  0
 3  0      0    129     15    441    0    0     0     0 2845 16925 10  8 82  0  0
 0  0      0    129     15    441    0    0     0     0 1854 12049 10  4 86  0  0
 3  0      0    129     15    441    0    0     0     0 2462 18299 12  5 83  0  0
 0  0      0    129     15    441    0    0     0     0 2671 16335  9  6 85  0  0
 0  0      0    129     15    441    0    0     0     0  830 4672  4  1 95  0  0
 2  0      0    129     15    441    0    0     0     0 3290 19746 10 10 80  0  0
 0  0      0    129     15    441    0    0     0     0  871 5190  2  3 95  0  0
 0  0      0    129     15    441    0    0     0     0 1886 11762  9  3 88  0  0
 2  0      0    129     15    441    0    0     0     0 3175 17331 12  7 81  0  0
 0  0      0    129     15    441    0    0     0     0 3713 20293 34  7 59  0  0
 0  0      0    129     15    441    0    0     0     0  417 1958  2  1 97  0  0
 0  0      0    129     15    441    0    0     0     8  950 5926  2  2 96  0  0
 0  0      0    129     15    441    0    0     0    32 1559 22783 13  8 79  0  0
 0  0      0    129     15    441    0    0     0     0  421 12218  5  4 91  0  0
 0  0      0    129     15    441    0    0     0     0 1795 11445  6  5 89  0  0
 0  0      0    129     15    441    0    0     0     0 1589 9933  5  5 90  0  0
 0  0      0    129     15    441    0    0     0     0  789 4415  3  1 96  0  0
 0  0      0    129     15    441    0    0     0     0 4373 26779 14 13 73  0  0
 0  0      0    129     15    441    0    0     0     0 5599 34485 20 17 63  0  0
 0  0      0    129     15    441    0    0     0     0 3408 20464 14 10 76  0  0
 0  0      0    129     15    441    0    0     0     0 2083 15139 10  6 83  0  1
 0  0      0    129     15    441    0    0     0     4 1523 11102  7  3 90  0  0
 0  0      0    129     15    441    0    0     0     0 1339 9398  7  2 91  0  0
 1  0      0    129     15    441    0    0     0     0 3802 28766 16 11 73  0  0
 1  0      0    129     15    441    0    0     0     0 6980 46040 27 21 52  0  0
 0  0      0    129     15    441    0    0     0     0 3496 23427 12  9 79  0  0
 0  0      0    129     15    441    0    0     0    16 1899 11640  5  6 89  0  0
 0  0      0    127     15    441    0    0     0     0 1548 10595  8  5 87  0  0
 0  0      0    127     15    441    0    0     0     0 7146 47096 24 24 52  0  0
 0  0      0    127     15    441    0    0     0     0 4321 28502 24  9 66  0  0
 0  0      0    127     15    441    0    0     0     0 2377 16039  6  9 85  0  0
 0  0      0    127     15    441    0    0     0     0 3879 25343 15  9 76  0  0
 0  0      0    127     15    441    0    0     0     0  909 8863  5  3 92  0  0
 0  0      0    127     15    441    0    0     0     0 2942 18546 14  8 78  0  0
 0  0      0    127     15    441    0    0     0     0 1070 7667  2  4 94  0  0
 0  0      0    127     15    441    0    0     0     0  845 5026  4  0 96  0  0
 1  0      0    127     15    441    0    0     0     0 2241 19895 10  8 82  0  0
 0  0      0    127     15    441    0    0     0     0 1512 10842  7  3 89  0  1
 0  0      0    127     15    441    0    0     0     0 1156 9066  1  7 92  0  0
 0  0      0    127     15    441    0    0     0     0  840 6203  5  1 94  0  0
 0  0      0    127     15    441    0    0     0     0 1023 7828  5  3 92  0  0
 0  0      0    127     15    441    0    0     0     0 3323 28469 17  9 74  0  0
 0  0      0    127     15    441    0    0     0    20 1224 17833  8  7 84  1  0
 0  0      0    127     15    441    0    0     0     0  348 2419  0  1 99  0  0
 0  0      0    127     15    441    0    0     0     0 2173 14534  8  8 84  0  0
 0  0      0    127     15    441    0    0     0     0 2165 15030  7  7 86  0  0
 0  0      0    127     15    441    0    0     0    16 3165 18913 12  6 82  0  0
 0  0      0    127     15    441    0    0     0     0 1490 10344  7  4 89  0  0
 3  0      0    127     15    441    0    0     0     0 1381 12647  7  4 89  0  0
 0  0      0    127     15    441    0    0     0     0 1602 10532  6  5 89  0  0
 0  0      0    127     15    441    0    0     0     0 3345 22462 10 10 80  0  0
