procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0    331     14    435    0    0    93    69  641 2847  3  1 96  0  0
 1  0      0    337     14    435    0    0     0     0  156  320  0  1 99  0  0
 0  0      0    343     14    435    0    0     0     0  167  335  0  1 99  0  0
 0  0      0    343     14    435    0    0     0     0  143  284  0  0 100  0  0
 0  0      0    343     14    435    0    0     0     0  147  289  0  0 100  0  0
 0  0      0    343     14    435    0    0     0     0  148  298  0  0 100  0  0
 1  0      0    343     14    435    0    0     0     0  149  294  0  0 100  0  0
 0  0      0    343     14    435    0    0     0     0  144  286  0  0 100  0  0
 0  0      0    343     14    435    0    0     0     0  148  299  0  0 99  0  1
 0  0      0    343     14    435    0    0     0     0  148  292  0  0 100  0  0
 0  0      0    343     14    435    0    0     0    12  153  290  0  0 100  0  0
 0  0      0    343     14    435    0    0     0     0  146  287  2  0 98  0  0
 0  0      0    343     14    435    0    0     0     0  146  287  0  0 100  0  0
 0  0      0    343     14    435    0    0     0   116  150  300  1  0 99  0  0
 0  0      0    343     14    435    0    0     0     0  150  292  1  0 99  0  0
 1  0      0    320     14    435    0    0     0    16  347 1462 53  2 45  0  0
 0  0      0    281     14    435    0    0     0     0  427 1955 55  4 41  0  0
 0  0      0    280     14    435    0    0     0     0  617 1623 27  2 71  0  0
 0  0      0    276     14    435    0    0     0     0 1323 2342 40  4 56  0  0
 1  0      0    284     14    435    0    0     0     0 1745 2950 61  1 38  0  0
 0  0      0    269     14    435    0    0     0     0 2186 2999 85  8  7  0  0
 0  0      0    256     14    435    0    0     0     0 2456 3749 71  5 24  0  0
 2  0      0    241     14    435    0    0     0     0 2737 4281 53  4 43  0  0
 0  0      0    230     14    435    0    0     0     0 1977 3427 48  3 48  0  0
 0  0      0    223     14    435    0    0     0     0  960 1419 35  0 65  0  0
 0  0      0    215     14    435    0    0     0    48 1686 3329 18  4 78  0  0
 0  0      0    199     14    435    0    0     0     0 1377 2586 16  3 81  0  0
 0  0      0    199     14    435    0    0     0     0  817 1905  4  2 93  0  1
 4  0      0    199     14    435    0    0     0     0  760 1762  5  0 95  0  0
 0  0      0    199     14    435    0    0     0     0 1337 2205 36  1 63  0  0
 0  0      0    199     14    435    0    0     0    12 1092 2461  4  3 93  0  0
 0  0      0    199     14    435    0    0     0     0 1770 4194 26  2 72  0  0
 0  0      0    199     14    435    0    0     0     0  492 1184  0  0 100  0  0
 0  0      0    199     14    435    0    0     0     0 1583 4325  6  3 91  0  0
 0  0      0    199     14    435    0    0     0     0  994 1860  9  1 90  0  0
 1  0      0    199     14    435    0    0     0     4 1217 1817 80  0 20  0  0
 1  0      0    199     14    435    0    0     0     0 2475 4198 64  4 32  0  0
 0  0      0    199     14    435    0    0     0     0  503 1148  1  0 99  0  0
 0  0      0    199     14    435    0    0     0     0  494 1284  1  0 98  0  1
 0  0      0    199     14    435    0    0     0     0  842 1938  4  2 94  0  0
 0  0      0    198     14    435    0    0     0     0  812 1424  8  2 90  0  0
 0  0      0    198     14    435    0    0     0     0 1193 2016 20  1 79  0  0
 0  0      0    198     14    435    0    0     0     0  422  834  1  0 99  0  0
 0  0      0    198     14    435    0    0     0    80 3178 9497 20  3 76  1  0
 0  0      0    198     14    435    0    0     0     0  774 1599 25  1 74  0  0
 0  0      0    198     14    435    0    0     0   112  601 1095  5  0 95  0  0
 0  0      0    198     14    435    0    0     0     0 2445 7123  9  2 89  0  0
 0  0      0    198     14    435    0    0     0     0  781 2701  1  1 98  0  0
 3  0      0    198     14    435    0    0     0     0  418  962  1  1 98  0  0
 0  0      0    198     14    435    0    0     0     0 2113 4330 16  2 81  0  0
 0  0      0    198     14    435    0    0     0     0 1988 5971  6  4 90  0  0
 2  0      0    198     14    435    0    0     0     0  814 2188  4  1 95  0  0
 0  0      0    198     14    435    0    0     0     0 1211 3492  3  0 96  0  1
 0  0      0    198     14    435    0    0     0     0  559 1812  0  1 99  0  0
 0  0      0    198     14    435    0    0     0     0  541 1660  1  1 98  0  0
 0  0      0    198     14    435    0    0     0    16 1023 3869  0  1 99  0  0
 0  0      0    198     14    435    0    0     0     0  303  975  0  0 100  0  0
 0  0      0    198     14    435    0    0     0     0  842 3123  1  0 99  0  0
 0  0      0    198     14    435    0    0     0     0  901 2500  7  1 92  0  0
 0  0      0    173     14    435    0    0     0     0 2494 4661 28  4 68  0  0
 0  0      0    173     14    435    0    0     0     4  972 2999  1  1 98  0  0
 0  0      0    173     14    435    0    0     0     0  899 4075  2  1 97  0  0
 0  0      0    174     14    434    0    0     0     0  538 2073  1  0 99  0  0
 0  0      0    174     14    434    0    0     0     0 1284 3938  2  1 96  0  1
 0  0      0    174     14    434    0    0     0     0  653 2110  0  0 100  0  0
 0  0      0    174     14    434    0    0     0     0 1112 4299  1  0 99  0  0
 1  0      0    174     14    434    0    0     0     0  863 3850  1  1 98  0  0
 1  0      0    174     14    434    0    0     0     0 1666 6610  4  0 96  0  0
 0  0      0    174     14    434    0    0     0     0 1562 6102  4  3 93  0  0
 0  0      0    174     14    434    0    0     0     0  454 1000  1  0 99  0  0
 0  0      0    174     14    434    0    0     0     8  987 3405  0  1 99  0  0
 0  0      0    174     14    434    0    0     0     0 1613 6764  3  0 97  0  0
 0  0      0    174     14    434    0    0     0     0  459 1800  0  1 99  0  0
 0  0      0    174     14    434    0    0     0    36 1535 6430  3  1 96  0  0
 0  0      0    174     14    434    0    0     0     0  524 2043  1  0 99  0  0
 0  0      0    174     14    434    0    0     0     0  528 2147  1  0 98  0  1
 0  0      0    174     14    434    0    0     0     0  930 3636  0  2 98  0  0
 0  0      0    174     14    434    0    0     0     0  636 2196  2  0 98  0  0
 0  0      0    174     14    434    0    0     0     0  728 2369  1  0 99  0  0
 0  0      0    174     14    434    0    0     0     0  853 2599  0  3 97  0  0
 0  0      0    174     14    434    0    0     0     0  718 2606  1  1 98  0  0
 0  0      0    174     14    434    0    0     0     0 2115 9387  4  1 95  0  0
 0  0      0    174     14    434    0    0     0     0 1634 6710  2  3 95  0  0
 0  0      0    174     14    434    0    0     0     0 1465 6176  3  2 94  0  1
 0  0      0    174     14    434    0    0     0     0  463 1814  1  0 99  0  0
 0  0      0    174     14    434    0    0     0    16 1057 4313  0  1 99  0  0
 0  0      0    174     14    434    0    0     0     0 1560 5960  4  2 94  0  0
 0  0      0    174     14    434    0    0     0     0 2151 8207  5  3 92  0  0
 3  0      0    174     14    434    0    0     0     0 1428 5652  2  2 96  0  0
 0  0      0    174     14    434    0    0     0     0 1753 6252  4  1 95  0  0
 0  0      0    174     14    434    0    0     0     0 1689 6380  3  1 96  0  0
 1  0      0    174     14    434    0    0     0     0 1426 5612  6  3 90  0  1
 0  0      0    174     14    434    0    0     0     0 1594 4698 15  3 82  0  0
 0  0      0    174     14    434    0    0     0     0 1175 4436  2  0 98  0  0
 0  0      0    174     14    434    0    0     0     0 1649 6405  3  2 95  0  0
 0  0      0    174     14    434    0    0     0     4 1427 5684  4  2 93  0  1
 0  0      0    174     14    434    0    0     0     0 1724 7950  4  1 95  0  0
 1  0      0    174     14    434    0    0     0     0  959 4338  3  2 95  0  0
 0  0      0    174     14    434    0    0     0     0 1314 5706  2  3 95  0  0
 0  0      0    174     14    434    0    0     0     0 1400 6855  1  3 96  0  0
 0  0      0    174     14    434    0    0     0     0  904 4010  1  1 98  0  0
 0  0      0    174     14    434    0    0     0     0  338 1216  1  0 99  0  0
 0  0      0    174     14    434    0    0     0     0 1406 6373  1  2 96  0  1
 0  0      0    174     14    434    0    0     0    20 1533 7171  2  3 95  0  0
 0  0      0    174     14    434    0    0     0     0  394 1527  1  1 98  0  0
 0  0      0    174     14    434    0    0     0    20  458 1747  0  0 100  0  0
