procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0    295     14    440    0    0   152    83  513 2044  4  1 95  0  0
 1  0      0    295     14    440    0    0     0     0  157  314  1  0 99  0  0
 0  0      0    307     14    439    0    0     0     0  165  326  0  0 100  0  0
 0  0      0    307     14    439    0    0     0     0  150  298  1  0 99  0  0
 0  0      0    307     14    439    0    0     0     0  150  297  1  0 99  0  0
 0  0      0    307     14    439    0    0     0     0  138  286  0  0 100  0  0
 0  0      0    307     14    439    0    0     0     0  150  300  0  0 100  0  0
 0  0      0    307     14    439    0    0     0     0  144  286  0  0 100  0  0
 0  0      0    307     14    439    0    0     0     0  147  299  0  0 100  0  0
 0  0      0    307     14    439    0    0     0     0  146  289  0  0 100  0  0
 0  0      0    307     14    439    0    0     0     0  146  289  0  0 100  0  0
 0  0      0    307     14    439    0    0     0     0  142  285  0  0 100  0  0
 0  0      0    307     14    439    0    0     0     0  149  291  2  0 98  0  0
 0  0      0    307     14    439    0    0     0     0  142  284  0  0 99  0  1
 1  0      0    307     14    439    0    0     0     0  180  590  6  1 93  0  0
 1  0      0    270     14    439    0    0     0     0  703 3403 97  3  0  0  0
 2  0      0    266     14    440    0    0     0     0 1316 2566 60  3 37  0  0
 6  0      0    243     14    440    0    0     0     0 4089 8024 76  5 19  0  0
 3  0      0    168     14    440    0    0     0     0 7035 14277 76 17  7  0  0
 1  0      0    167     14    440    0    0     0     0 4136 11504 66 10 24  0  0
 0  0      0    166     14    440    0    0     0     0 2288 7391 65  5 30  0  0
 2  0      0    166     14    440    0    0     0     0 2925 7679 62  4 34  0  0
 1  0      0    139     14    440    0    0     0     0 1443 3463 33  2 65  0  0
 0  0      0    138     14    440    0    0     0     0  943 2365 35  2 63  0  0
 0  0      0    138     14    440    0    0     0   140  739 1571 18  0 82  0  0
 0  0      0    137     14    440    0    0     0     0 1690 3766 15  4 81  0  0
 0  0      0    137     14    440    0    0     0     0 1070 2604  7  2 91  0  0
 0  0      0    137     14    440    0    0     0     0  403  699  6  0 94  0  0
 0  0      0    137     14    440    0    0     0     0  757 2625  9  2 89  0  0
 0  0      0    137     14    440    0    0     0    32  909 2806  5  2 93  0  0
 0  0      0    137     14    440    0    0     0     0 1097 3987  6  2 92  0  0
 0  0      0    137     14    440    0    0     0     0 1040 3225  7  2 90  0  1
 0  0      0    137     14    440    0    0     0     0  986 2812  9  4 87  0  0
 0  0      0    137     14    440    0    0     0     0  831 3054  4  1 95  0  0
 0  0      0    137     14    440    0    0     0     8 1257 4945  6  3 91  0  0
 0  0      0    137     14    440    0    0     0     0 1578 3856 12  2 86  0  0
 0  0      0    137     14    440    0    0     0     0  831 3400  4  0 96  0  0
 0  0      0    137     14    440    0    0     0     0  917 3808  4  2 94  0  0
 0  0      0    137     14    440    0    0     0     0  686 1468  8  0 92  0  0
 0  0      0    137     14    440    0    0     0     0  473 1534  2  1 97  0  0
 0  0      0    137     14    440    0    0     0     0  898 5270  5  2 93  0  0
 0  0      0    137     14    440    0    0     0     0  403 1676  3  1 96  0  0
 0  0      0    136     14    440    0    0     0     0 1424 7492 28  2 70  0  0
 0  0      0    136     14    440    0    0     0     0  942 3980  4  1 95  0  0
 0  0      0    136     14    440    0    0     0     0  841 4239  4  1 95  0  0
 0  0      0    136     14    440    0    0     0     0 1238 6385  8  3 89  0  0
 0  0      0    136     14    440    0    0     0     0  828 3851  5  0 95  0  0
 0  0      0    136     14    440    0    0     0     0  771 3453  3  1 96  0  0
 0  0      0    134     14    440    0    0     0     0 2207 11860 16  7 76  0  1
 2  0      0    134     14    440    0    0     0     0  544 1251  8  2 90  0  0
 0  0      0    134     14    440    0    0     0     0 1475 8454 12  4 84  0  0
 0  0      0    134     14    440    0    0     0     0  799 2435  7  3 90  0  0
 0  0      0    134     14    440    0    0     0     0  744 2959  9  1 90  0  0
 0  0      0    134     14    440    0    0     0     0  454 1376  6  1 93  0  0
 0  0      0    134     14    440    0    0     0    56  619 3544  3  1 96  0  0
 0  0      0    134     14    440    0    0     0    48  609 2599  4  0 96  0  0
 0  0      0    134     14    440    0    0     0     0  674 4007  3  2 95  0  0
 0  0      0    134     14    440    0    0     0     0  458  832 19  0 81  0  0
 0  0      0    134     14    440    0    0     0     0 1069 6870 14  2 84  0  0
 0  0      0    134     14    440    0    0     0    16  424 1679  3  2 95  0  0
 0  0      0    134     14    440    0    0     0     0  751 5100  4  0 95  0  1
 0  0      0    134     14    440    0    0     0     0  564 2715  6  1 93  0  0
 0  0      0    136     14    439    0    0     0     0  764 5860  5  3 92  0  0
 0  0      0    136     14    439    0    0     0     0  527 1716  5  0 95  0  0
 2  0      0    136     14    439    0    0     0     4  733 1570 16  0 84  0  0
 0  0      0    136     14    439    0    0     0     0  654 3303  5  1 94  0  0
 0  0      0    136     14    439    0    0     0     0 1205 6987  8  2 90  0  0
 0  0      0    136     14    439    0    0     0     0 1003 5634  5  1 94  0  0
 0  0      0    136     14    439    0    0     0     0  869 3786  6  1 93  0  0
 0  0      0    136     14    439    0    0     0     4  602 3497  3  2 95  0  0
 0  0      0    136     14    439    0    0     0     0 1075 6532  8  2 90  0  0
 0  0      0    136     14    439    0    0     0     0  491 1139  4  1 95  0  0
 0  0      0    136     14    439    0    0     0     0  593 3214  3  2 95  0  0
 0  0      0    136     14    439    0    0     0     0  808 2829 24  1 74  0  0
 0  0      0    136     14    439    0    0     0     0  501 3065  3  0 97  0  0
 0  0      0    136     14    439    0    0     0     0  490 2611  2  0 98  0  0
 0  0      0    136     14    439    0    0     0     0  712 3989  2  1 96  0  1
 0  0      0    136     14    439    0    0     0     0  607 3591  3  2 95  0  0
 0  0      0    136     14    439    0    0     0     0  486 2198  4  0 96  0  0
 0  0      0    136     14    439    0    0     0     0  683 4255  8  2 90  0  0
 0  0      0    134     14    439    0    0     0     0  900 8935  9  2 89  0  0
 0  0      0    134     14    439    0    0     0     0  408 2363  4  1 95  0  0
 0  0      0    134     14    439    0    0     0     0  914 7056  5  2 93  0  0
 0  0      0    134     14    439    0    0     0     0  571 3562  2  3 95  0  0
 0  0      0    134     14    439    0    0     0     0  653 3686  4  1 95  0  0
 0  0      0    134     14    439    0    0     0    36 1038 6259  9  2 89  0  0
 0  0      0    134     14    439    0    0     0     0  880 7106  7  2 91  0  0
 0  0      0    134     14    439    0    0     0     0 1268 8065  8  4 87  0  1
 2  0      0    134     14    439    0    0     0     0 1362 7351  6  3 91  0  0
 0  0      0    134     14    439    0    0     0    32  569 4706  7  0 93  0  0
 0  0      0    134     14    439    0    0     0     0  507 3612  2  2 96  0  0
 0  0      0    134     14    439    0    0     0     0  654 5114  4  2 94  0  0
 0  0      0    134     14    439    0    0     0     0  841 6731  5  2 93  0  0
 1  0      0    134     14    439    0    0     0     0  596 3242  4  0 96  0  0
 0  0      0    134     14    439    0    0     0     4  976 8979  7  3 90  0  0
 0  0      0    134     14    439    0    0     0     0  997 9166 10  1 89  0  0
 0  0      0    134     14    439    0    0     0     0  625 3306  3  1 96  0  0
 1  0      0    134     14    439    0    0     0     0  715 3010  7  3 90  0  0
 0  0      0    134     14    439    0    0     0     0 1118 6509 15  2 83  0  0
 1  0      0    134     14    439    0    0     0     8  771 4619  2  3 95  0  0
 0  0      0    134     14    439    0    0     0     0  560 2404  3  2 95  0  0
 1  0      0    134     14    439    0    0     0     0  833 5764  8  2 90  0  0
 0  0      0    134     14    439    0    0     0     0  988 5583 21  1 77  0  1
 0  0      0    133     14    439    0    0     0     0  726 3533  2  2 96  0  0
 0  0      0    134     14    439    0    0     0     8  496 1416  7  0 93  0  0
 0  0      0    134     14    439    0    0     0     0  399 2680  5  1 94  0  0
 0  0      0    133     14    439    0    0     0     0  731 4529  4  2 94  0  0
 0  0      0    134     14    439    0    0     0     0  545 2740  3  1 96  0  0
 0  0      0    134     14    439    0    0     0     0  404 1336  3  0 97  0  0
 0  0      0    133     14    439    0    0     0     0  794 4329 14  1 85  0  0
 0  0      0    133     14    439    0    0     0     0  635 3587  3  1 96  0  0
 0  0      0    134     14    439    0    0     0     0  411 1603  0  0 100  0  0
 0  0      0    134     14    439    0    0     0     0  422 1763  1  1 98  0  0
 0  0      0    133     14    439    0    0     0     0  624 3416  4  1 95  0  0
 0  0      0    134     14    439    0    0     0     0 1228 9028  7  1 91  0  1
 0  0      0    134     14    439    0    0     0    36  654 3625  8  1 90  1  0
 0  0      0    134     14    439    0    0     0     0  601 3125  3  1 96  0  0
 0  0      0    134     14    439    0    0     0     0  402 1624  2  0 98  0  0
 0  0      0    131     14    439    0    0     0     0  826 5691  5  2 93  0  0
 0  0      0    131     14    439    0    0     0    16  913 6181  5  2 93  0  0
 0  0      0    131     14    439    0    0     0     0  562 3415  4  1 95  0  0
 0  0      0    131     14    439    0    0     0     0  767 4834  4  2 94  0  0
 0  0      0    131     14    439    0    0     0     0  685 3460  2  1 97  0  0
 0  0      0    131     14    439    0    0     0     0  430 2269  2  1 97  0  0
 0  0      0    131     14    439    0    0     0     0  597 3430  2  1 97  0  0
 0  0      0    131     14    439    0    0     0     0  664 2341  5  2 93  0  0
 0  0      0    131     14    439    0    0     0     0  510 2144  2  1 97  0  0
 1  0      0    131     14    439    0    0     0     0 1298 7398  9  4 87  0  0
 0  0      0    131     14    439    0    0     0     0  420 2007  1  0 99  0  0
 0  0      0    131     14    439    0    0     0     0  452 1947  1  0 98  0  1
 0  0      0    131     14    439    0    0     0     0  592 3044  6  1 93  0  0
 0  0      0    131     14    439    0    0     0     0 1076 6971  6  4 90  0  0
 0  0      0    131     14    439    0    0     0     0  490 2958  1  1 98  0  0
 0  0      0    131     14    439    0    0     0     0  444 1730  1  0 99  0  0
 0  0      0    131     14    439    0    0     0     4  525 3234  4  1 95  0  0
 0  0      0    131     14    439    0    0     0     0  848 5653  4  2 94  0  0
 0  0      0    131     14    439    0    0     0     0  639 5678  2  3 95  0  0
 3  0      0    131     14    439    0    0     0     0  979 9695  8  3 89  0  0
 0  0      0    131     14    439    0    0     0     0  657 4910  8  0 92  0  0
 0  0      0    131     14    439    0    0     0     4  495 3167  2  0 97  0  1
 0  0      0    131     14    439    0    0     0     0  608 3849  1  1 98  0  0
 0  0      0    131     14    439    0    0     0     0 1120 8708 10  2 88  0  0
 0  0      0    131     14    439    0    0     0     0  815 8843  7  1 92  0  0
 0  0      0    131     14    439    0    0     0     0  735 5500  5  2 93  0  0
 0  0      0    131     14    439    0    0     0     0  684 5014  4  0 96  0  0
 0  0      0    131     14    439    0    0     0    20  533 3414  3  0 97  0  0
 3  0      0    129     14    439    0    0     0     0 1046 10354 12  3 85  0  0
 0  0      0    129     14    439    0    0     0     0  598 5611  5  2 93  0  0
 0  0      0    129     14    439    0    0     0     0  879 8956  7  2 91  0  0
