procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0    303     14    434    0    0   150    83  478 1444  2  1 97  0  0
 1  0      0    303     14    434    0    0     0     0  162  306  1  1 98  0  0
 0  0      0    314     14    434    0    0     0     0  164  342  1  0 99  0  0
 0  0      0    314     14    434    0    0     0     0  153  302  0  0 100  0  0
 0  0      0    314     14    434    0    0     0     0  153  293  0  0 100  0  0
 0  0      0    314     14    434    0    0     0     0  153  298  0  0 100  0  0
 0  0      0    314     14    434    0    0     0     0  147  295  0  0 100  0  0
 0  0      0    314     14    434    0    0     0     0  153  298  0  0 100  0  0
 0  0      0    314     14    434    0    0     0     0  150  291  0  0 100  0  0
 0  0      0    314     14    434    0    0     0     0  156  313  0  0 100  0  0
 0  0      0    314     14    434    0    0     0     0  151  295  0  0 100  0  0
 0  0      0    314     14    434    0    0     0     0  154  292  0  0 100  0  0
 0  0      0    314     14    434    0    0     0     0  152  292  1  0 99  0  0
 0  0      0    314     14    434    0    0     0     0  152  295  0  0 100  0  0
 0  0      0    314     14    434    0    0     0     0  150  289  1  0 99  0  0
 0  0      0    314     14    434    0    0     0     0  153  297  0  0 100  0  0
 0  0      0    314     14    434    0    0     0     0  143  292  0  0 100  0  0
 6  0      0    303     14    434    0    0     0     0  522 2716 80  4 16  0  0
 2  0      0    279     14    434    0    0     0     0  414 1774 30  1 69  0  0
 3  0      0    275     14    434    0    0     0     0 1230 2179 36  2 62  0  0
 2  0      0    269     14    434    0    0     0     0 3023 5562 62  7 31  0  0
 0  0      0    253     14    434    0    0     0     0 3114 5638 61  5 34  0  0
 0  0      0    244     14    434    0    0     0     0 1546 1945 25  3 72  0  0
 3  0      0    232     14    434    0    0     0     0 2038 2278 33  3 64  0  0
 0  0      0    225     14    434    0    0     0     0 1050 1463 18  2 80  0  0
 0  0      0    217     14    434    0    0     0   148  840 1019 21  1 77  1  0
 0  0      0    212     14    434    0    0     0     0  927 1157 28  1 71  0  0
 0  0      0    190     14    434    0    0     0     0 1543 2160 18  2 80  0  0
 0  0      0    190     14    434    0    0     0     0  887 1125 14  3 83  0  0
 0  0      0    190     14    434    0    0     0     0  351  588  2  0 98  0  0
 0  0      0    190     14    434    0    0     0     0 1206 2751 20  2 78  0  0
 0  0      0    190     14    434    0    0     0     0  711  975  5  1 94  0  0
 0  0      0    190     14    434    0    0     0     0  943 1383 10  0 90  0  0
 0  0      0    190     14    434    0    0     0     0  986 1551  9  1 90  0  0
 0  0      0    190     14    434    0    0     0     0  822 2328  5  1 94  0  0
 0  0      0    190     14    434    0    0     0    12 1252 1456 44  1 55  0  0
 0  0      0    190     14    434    0    0     0     0 1027 2131 11  1 88  0  0
 0  0      0    190     14    434    0    0     0     0 1214 1428 19  2 78  0  1
 0  0      0    190     14    434    0    0     0     0 1185 2660  5  0 95  0  0
